host_id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
2787,Brooklyn,Kensington,Private room,149,1,9,0.21,6,365
2845,Manhattan,Midtown,Entire home/apt,225,1,45,0.38,2,355
4869,Brooklyn,Clinton Hill,Entire home/apt,89,1,270,4.64,1,194
7192,Manhattan,East Harlem,Entire home/apt,80,10,9,0.1,1,0
7322,Manhattan,Murray Hill,Entire home/apt,200,3,74,0.59,1,129
7356,Brooklyn,Bedford-Stuyvesant,Private room,60,45,49,0.4,1,0
8967,Manhattan,Hell's Kitchen,Private room,79,2,430,3.47,1,220
7490,Manhattan,Upper West Side,Private room,79,2,118,0.99,1,0
7549,Manhattan,Chinatown,Entire home/apt,150,1,160,1.33,4,188
7702,Manhattan,Upper West Side,Entire home/apt,135,5,53,0.43,1,6
7989,Manhattan,Hell's Kitchen,Private room,85,2,188,1.5,1,39
9744,Brooklyn,South Slope,Private room,89,4,167,1.34,3,314
11528,Manhattan,Upper West Side,Private room,85,2,113,0.91,1,333
11975,Manhattan,West Village,Entire home/apt,120,90,27,0.22,1,0
15991,Brooklyn,Williamsburg,Entire home/apt,140,2,148,1.2,1,46
17571,Brooklyn,Fort Greene,Entire home/apt,215,2,198,1.72,1,321
18946,Manhattan,Chelsea,Private room,140,1,260,2.12,1,12
20950,Brooklyn,Crown Heights,Entire home/apt,99,3,53,4.44,1,21
21207,Brooklyn,Williamsburg,Entire home/apt,299,3,9,0.07,1,0
22486,Brooklyn,Park Slope,Private room,130,2,130,1.09,6,347
22486,Brooklyn,Park Slope,Private room,80,1,39,0.37,6,364
22486,Brooklyn,Park Slope,Private room,110,2,71,0.61,6,304
25183,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2,88,0.73,2,233
25326,Brooklyn,Windsor Terrace,Private room,60,1,19,1.37,2,85
30193,Manhattan,Hell's Kitchen,Entire home/apt,150,10,58,0.49,1,75
31374,Manhattan,Inwood,Private room,44,3,108,1.11,3,311
21904,Manhattan,East Village,Entire home/apt,180,14,29,0.24,1,67
32294,Manhattan,Harlem,Private room,50,3,242,2.04,3,355
32045,Manhattan,Harlem,Private room,52,2,88,1.42,1,255
32169,Brooklyn,Greenpoint,Private room,55,4,197,1.65,3,284
32294,Manhattan,Harlem,Private room,50,3,273,2.37,3,359
35935,Brooklyn,Bedford-Stuyvesant,Private room,70,1,74,0.66,2,269
9744,Brooklyn,South Slope,Private room,89,4,168,1.41,3,340
44145,Brooklyn,Bushwick,Entire home/apt,85,2,231,1.96,2,22
7549,Manhattan,Lower East Side,Shared room,40,1,214,1.81,4,188
46978,Manhattan,East Village,Private room,68,2,245,2.08,2,96
47610,Brooklyn,South Slope,Entire home/apt,120,3,15,0.39,1,345
47618,Brooklyn,Fort Greene,Private room,120,7,25,0.23,1,311
16800,Manhattan,Upper West Side,Private room,135,4,81,0.69,1,273
47727,Manhattan,Harlem,Entire home/apt,150,7,97,0.84,1,309
49670,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,150,29,11,0.49,1,95
50124,Queens,Long Island City,Private room,130,3,248,2.25,1,215
50148,Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,7,61,0.52,1,265
50846,Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,3,11,0.1,1,0
52335,Brooklyn,Fort Greene,Private room,80,3,135,1.16,2,192
54275,Brooklyn,Bedford-Stuyvesant,Private room,80,1,112,1.01,3,251
56094,Manhattan,Upper West Side,Entire home/apt,151,2,73,0.63,1,302
56104,Brooklyn,Williamsburg,Entire home/apt,228,3,82,0.7,1,140
56246,Brooklyn,Greenpoint,Entire home/apt,144,2,328,2.82,1,234
56284,Manhattan,Kips Bay,Entire home/apt,200,7,19,0.22,1,257
56512,Brooklyn,Williamsburg,Entire home/apt,150,30,105,0.9,1,30
59023,Manhattan,Lower East Side,Private room,110,5,19,0.17,1,301
59734,Manhattan,Hell's Kitchen,Private room,69,2,289,2.49,2,294
32169,Brooklyn,Greenpoint,Private room,49,4,138,1.19,3,320
60049,Manhattan,SoHo,Entire home/apt,180,30,21,0.3,1,154
60252,Brooklyn,Williamsburg,Private room,80,2,42,0.38,1,263
60278,Manhattan,Chelsea,Entire home/apt,375,180,5,0.12,1,180
61491,Manhattan,Upper East Side,Entire home/apt,250,2,66,0.57,2,231
63588,Brooklyn,Prospect Heights,Entire home/apt,200,30,143,1.33,2,297
63613,Brooklyn,Clinton Hill,Private room,55,7,27,0.23,2,292
63924,Manhattan,Hell's Kitchen,Private room,52,30,191,1.65,1,191
64056,Brooklyn,Park Slope,Entire home/apt,225,3,4,0.16,1,0
64442,Manhattan,East Village,Private room,80,1,338,4.72,2,72
64522,Brooklyn,Williamsburg,Entire home/apt,275,1,148,1.4,1,362
4396,Manhattan,East Village,Private room,99,1,106,1.26,2,336
65837,Manhattan,East Harlem,Entire home/apt,225,4,190,1.64,1,215
66035,Manhattan,East Village,Entire home/apt,230,9,49,0.43,1,116
66243,Manhattan,Hell's Kitchen,Private room,51,7,23,0.43,1,88
68428,Manhattan,Washington Heights,Private room,65,2,49,1.6,2,336
68599,Brooklyn,Clinton Hill,Private room,105,2,105,0.92,1,304
69829,Manhattan,East Village,Entire home/apt,190,5,21,0.2,1,224
69942,Manhattan,Upper East Side,Private room,200,1,142,1.5,1,322
70091,Queens,Woodside,Private room,70,30,25,0.22,1,324
71512,Brooklyn,Fort Greene,Private room,95,3,143,1.28,1,132
71876,Manhattan,Chelsea,Private room,150,3,167,1.65,1,295
72014,Brooklyn,Williamsburg,Private room,145,3,61,0.54,4,238
73051,Manhattan,Harlem,Entire home/apt,110,31,54,0.49,1,209
73128,Manhattan,Lower East Side,Entire home/apt,285,5,70,0.62,1,328
73469,Brooklyn,Flatbush,Entire home/apt,130,6,16,0.15,1,38
44263,Manhattan,Lower East Side,Private room,94,30,94,0.84,1,188
74303,Brooklyn,Brooklyn Heights,Entire home/apt,800,1,25,0.24,1,7
74857,Brooklyn,Williamsburg,Entire home/apt,105,3,61,0.53,1,272
62407,Manhattan,East Village,Private room,60,3,194,1.73,1,26
76627,Manhattan,East Village,Private room,50,1,2,0.05,1,0
72014,Brooklyn,Williamsburg,Private room,85,3,174,1.54,4,288
961342,Brooklyn,Bushwick,Private room,65,4,24,0.28,1,317
78460,Brooklyn,Prospect Heights,Entire home/apt,131,4,166,3.4,1,207
51038,Brooklyn,Clinton Hill,Private room,98,7,16,0.2,6,185
79070,Brooklyn,Prospect Heights,Entire home/apt,250,7,21,0.3,1,158
79402,Brooklyn,Williamsburg,Entire home/apt,100,5,168,1.57,1,0
44145,Brooklyn,Bushwick,Entire home/apt,105,3,118,1.05,2,9
42032,Manhattan,Upper West Side,Entire home/apt,140,3,81,0.71,1,198
82685,Manhattan,Harlem,Private room,89,1,1,0.11,1,365
83257,Manhattan,Chelsea,Private room,98,30,30,0.27,2,364
87773,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,7,139,1.23,2,311
32294,Manhattan,Harlem,Private room,60,3,11,0.87,3,219
11481,Brooklyn,Carroll Gardens,Entire home/apt,175,2,233,2.09,3,342
63318,Manhattan,Washington Heights,Private room,65,2,68,0.6,1,312
93790,Manhattan,West Village,Entire home/apt,500,4,46,0.55,2,243
97219,Brooklyn,Williamsburg,Private room,101,3,335,3.02,1,152
97797,Brooklyn,Park Slope,Entire home/apt,220,30,88,0.79,1,9
87773,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,90,162,1.46,2,137
105538,Brooklyn,Williamsburg,Entire home/apt,80,30,29,0.4,1,222
107628,Manhattan,Harlem,Private room,100,2,170,1.61,1,346
109589,Brooklyn,Gowanus,Entire home/apt,200,30,19,0.2,1,208
59734,Manhattan,Hell's Kitchen,Private room,59,2,334,3.0,2,279
51038,Brooklyn,Clinton Hill,Private room,125,2,19,0.2,6,250
112793,Manhattan,East Village,Entire home/apt,140,7,12,0.13,1,164
42273,Brooklyn,South Slope,Entire home/apt,120,30,467,4.22,2,192
72062,Manhattan,East Village,Entire home/apt,350,2,7,0.06,4,298
115157,Manhattan,Kips Bay,Entire home/apt,199,5,38,0.38,1,260
115307,Brooklyn,Williamsburg,Entire home/apt,325,3,324,3.01,1,107
115560,Manhattan,Upper West Side,Entire home/apt,235,6,27,0.27,1,199
72062,Manhattan,East Village,Entire home/apt,225,1,115,1.05,4,299
118971,Brooklyn,South Slope,Private room,99,2,354,3.2,3,20
119510,Manhattan,Harlem,Entire home/apt,170,2,195,2.03,1,318
119588,Brooklyn,South Slope,Entire home/apt,400,2,16,0.24,2,216
119900,Manhattan,Upper West Side,Entire home/apt,170,7,13,0.12,1,224
120223,Manhattan,East Village,Entire home/apt,100,4,25,0.23,1,0
65091,Brooklyn,Prospect-Lefferts Gardens,Private room,75,2,9,0.08,1,324
6197784,Brooklyn,Williamsburg,Private room,90,1,9,0.08,1,245
124352,Manhattan,Upper East Side,Entire home/apt,150,5,21,0.19,1,189
124797,Manhattan,Washington Heights,Private room,85,15,36,0.33,1,307
35935,Brooklyn,Bedford-Stuyvesant,Private room,70,3,63,0.58,2,310
126607,Manhattan,Harlem,Entire home/apt,120,3,155,1.42,3,213
127608,Brooklyn,Clinton Hill,Private room,89,3,260,2.35,1,278
125857,Manhattan,East Village,Entire home/apt,185,5,73,0.66,1,209
129352,Brooklyn,Greenpoint,Private room,50,3,193,1.86,1,0
120335,Manhattan,Lower East Side,Entire home/apt,105,3,32,0.29,1,16
117287,Manhattan,Hell's Kitchen,Private room,130,2,50,0.45,3,234
135619,Manhattan,West Village,Entire home/apt,115,29,26,0.25,1,12
137292,Brooklyn,Flatlands,Private room,77,2,2,0.02,1,178
137814,Brooklyn,Clinton Hill,Private room,76,2,426,3.89,3,275
137974,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,3,227,2.09,2,163
116599,Brooklyn,Clinton Hill,Private room,135,4,84,0.77,3,365
